Timestamp,What program are you in currently?,What year are you in?,Are you happy with your program?,1. What field interests you the most?,2. I would like to have been part of the team that was responsible for:,3. Who would be your dream professor?,4. I would enjoy working...,5. An ideal outfit to wear to work would be:,"6. When you start work, ideally you would want to...",7. I would rather design something that...,8. I would rather analyze...,9. I would rather gather information for solving a problem...,10. I prefer to...,11. I would rather work as part of a...,12. When working on a project would you rather,13. What cause do you care about the most?,14. When setting goals for yourself you find yourself thinking about...,15. You are most likely to eavesdrop in a conversation regarding,16. What subject would you like to develop your skills in?,"17. In an ideal setting, you are working with:",18. Would you prefer to be the leader on a team?,What is your gender? Your answer will only be used for data collection purposes.
2016/11/07 12:25:07 PM EST,Biomedical Engineering,1,Yes,Research,Penicillin,"Mark Zuckerberg, Founder of Facebook",In a laboratory,Extremely Casual,Work for a large corporation,"I can see it function and prove it works, but can't necessary touch",Blue prints and design drawings,By analyzing the design and implementation of the system,Read,Multidisciplinary team,Know all the requirements for the project at the beginning,Health,One year from now,A new way to deal with movement in the Earth’s surface to protect buildings from earthquakes,Technology,Computers,No,Female
2016/11/07 12:31:47 PM EST,Biomedical Engineering,1,Yes,Research,The Internet,"Elon Musk, Founder of Tesla",In a laboratory,Business Casual,Work in a start up,I can see function and tangibly touch the parts,Test results,By analyzing the design and implementation of the system,Talk,Focused team,Continuously change and update requirements as you go,Health,A week from now,A microchip that is smaller than usual but twice as powerful as before,Technology,Computers,Yes,Male
2016/11/07 12:36:54 PM EST,Biomedical Engineering,1,Yes,Manufacturing,The Robot,"Elon Musk, Founder of Tesla",In a manufacturing facility,Extremely Casual,Work for a small company,I can see function and tangibly touch the parts,Blue prints and design drawings,By analyzing the design and implementation of the system,Talk,Focused team,Continuously change and update requirements as you go,Human Rights,One year from now,A factory that is able to 100% rely on robotics while producing no defected products,Technology,People,No,Female
2016/11/07 12:37:47 PM EST,Biomedical Engineering,2,Yes,Research,Penicillin,"Madam Marie Curie, Noble Price Winner for work on radioactivity",In a laboratory,Extremely Casual,Work in a start up,"I can see it function and prove it works, but can't necessary touch",Test results,By analyzing the design and implementation of the system,Listen,Multidisciplinary team,Continuously change and update requirements as you go,Health,Today,A microchip that is smaller than usual but twice as powerful as before,Technology,People,Yes,Female
2016/11/07 12:38:03 PM EST,Biomedical Engineering,1,Yes,Manufacturing,Solar Panels,"Elon Musk, Founder of Tesla",In a manufacturing facility,Business Casual,Work in a start up,I can see function and tangibly touch the parts,Blue prints and design drawings,By analyzing the design and implementation of the system,Talk,Multidisciplinary team,Continuously change and update requirements as you go,Health,Five years from now,A microchip that is smaller than usual but twice as powerful as before,Technology,People,Yes,Female
2016/11/07 12:39:35 PM EST,Biomedical Engineering,3,Yes,Manufacturing,The Robot,"Warren Buffett, Billionaire American Business Men",In an office,Extremely Casual,Work for a large corporation,I can see function and tangibly touch the parts,Graphs and charts,By talking to the people who use the system,Listen,Multidisciplinary team,Continuously change and update requirements as you go,Health,Five years from now,A microchip that is smaller than usual but twice as powerful as before,Technology,People,Yes,Male
2016/11/07 12:48:04 PM EST,Biomedical Engineering,1,Yes,Research,Penicillin,"Elon Musk, Founder of Tesla",In an office,Business Casual,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Test results,By talking to the people who use the system,Talk,Multidisciplinary team,Know all the requirements for the project at the beginning,Health,One year from now,A microchip that is smaller than usual but twice as powerful as before,Technology,Business Processes,Yes,Male
2016/11/07 12:49:53 PM EST,Biomedical Engineering,2,Yes,Software Development,Penicillin,"Elon Musk, Founder of Tesla",In the outdoors,Business Casual,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Graphs and charts,By analyzing the design and implementation of the system,Listen,Multidisciplinary team,Know all the requirements for the project at the beginning,Human Rights,A week from now,A factory that is able to 100% rely on robotics while producing no defected products,Life Science,People,No,Female
2016/11/07 1:08:48 PM EST,Biomedical Engineering,1,Yes,Research,Penicillin,"Elon Musk, Founder of Tesla",In a laboratory,Formal,Work in a start up,"I can see it function and prove it works, but can't necessary touch",Test results,By analyzing the design and implementation of the system,Talk,Multidisciplinary team,Continuously change and update requirements as you go,Health,Five years from now,A microchip that is smaller than usual but twice as powerful as before,Life Science,People,Yes,Male
2016/11/07 1:46:16 PM EST,Biomedical Engineering,1,Yes,Research,Penicillin,"David Suzuki, Environmental Activist",In a laboratory,Business Casual,Work for a large corporation,I can see function and tangibly touch the parts,Graphs and charts,By analyzing the design and implementation of the system,Listen,Multidisciplinary team,Know all the requirements for the project at the beginning,Health,Five years from now,A new way to deal with movement in the Earth’s surface to protect buildings from earthquakes,Life Science,People,Yes,Female
